season,match_name,result,h_odd,d_odd,a_odd,home_team,away_team,home_score,away_score,winner
2006,Newcastle vs Aston Villa,3-1,2.19,3.14,3.25,Newcastle,Aston Villa,3,1,HOME_TEAM
2006,Chelsea vs Blackburn,3-0,1.31,4.8,9.67,Chelsea,Blackburn,3,0,HOME_TEAM
2006,Reading vs Wigan,3-2,1.8,3.38,4.56,Reading,Wigan,3,2,HOME_TEAM
2006,Portsmouth vs Middlesbrough,0-0,1.88,3.35,4.15,Portsmouth,Middlesbrough,0,0,DRAW
2006,Sheffield Utd vs Fulham,2-0,2.38,3.18,2.97,Sheffield Utd,Fulham,2,0,HOME_TEAM
2006,West Ham vs Liverpool,1-2,5.55,3.53,1.64,West Ham,Liverpool,1,2,AWAY_TEAM
2006,Watford vs Blackburn,2-1,3.32,3.23,2.18,Watford,Blackburn,2,1,HOME_TEAM
2006,Arsenal vs Manchester Utd,2-1,2.56,3.17,2.75,Arsenal,Manchester Utd,2,1,HOME_TEAM
2006,Wigan vs Everton,0-2,2.58,3.18,2.73,Wigan,Everton,0,2,AWAY_TEAM
2006,Manchester City vs Blackburn,0-3,2.35,3.18,3.05,Manchester City,Blackburn,0,3,AWAY_TEAM
2006,Aston Villa vs Watford,2-0,1.68,3.48,5.37,Aston Villa,Watford,2,0,HOME_TEAM
2006,Fulham vs Tottenham,1-1,3.2,3.3,2.29,Fulham,Tottenham,1,1,DRAW
2006,Middlesbrough vs Bolton,5-1,2.63,3.25,2.7,Middlesbrough,Bolton,5,1,HOME_TEAM
2006,Newcastle vs West Ham,2-2,1.89,3.33,4.16,Newcastle,West Ham,2,2,DRAW
2006,Portsmouth vs Charlton,0-1,1.51,3.78,7.0,Portsmouth,Charlton,0,1,AWAY_TEAM
2006,Reading vs Sheffield Utd,3-1,1.85,3.37,4.39,Reading,Sheffield Utd,3,1,HOME_TEAM
2006,Liverpool vs Chelsea,2-0,2.78,3.07,2.59,Liverpool,Chelsea,2,0,HOME_TEAM
2006,Tottenham vs Newcastle,2-3,1.77,3.38,4.82,Tottenham,Newcastle,2,3,AWAY_TEAM
2006,Everton vs Reading,1-1,2.03,3.27,3.7,Everton,Reading,1,1,DRAW
2006,Blackburn vs Arsenal,0-2,4.23,3.48,1.85,Blackburn,Arsenal,0,2,AWAY_TEAM
2006,Bolton vs Manchester City,0-0,1.75,3.45,4.95,Bolton,Manchester City,0,0,DRAW
2006,Charlton vs Middlesbrough,1-3,2.46,3.22,2.83,Charlton,Middlesbrough,1,3,AWAY_TEAM
2006,Chelsea vs Wigan,4-0,1.22,5.68,13.65,Chelsea,Wigan,4,0,HOME_TEAM
2006,Manchester Utd vs Aston Villa,3-1,1.26,5.39,11.45,Manchester Utd,Aston Villa,3,1,HOME_TEAM
2006,Sheffield Utd vs Portsmouth,1-1,2.6,3.21,2.68,Sheffield Utd,Portsmouth,1,1,DRAW
2006,West Ham vs Fulham,3-3,2.03,3.32,3.68,West Ham,Fulham,3,3,DRAW
2006,Watford vs Liverpool,0-3,7.07,3.78,1.51,Watford,Liverpool,0,3,AWAY_TEAM
2006,Aston Villa vs Chelsea,0-0,7.05,3.68,1.53,Aston Villa,Chelsea,0,0,DRAW
2006,Arsenal vs Charlton,4-0,1.25,5.43,12.0,Arsenal,Charlton,4,0,HOME_TEAM
2006,Newcastle vs Manchester Utd,2-2,6.4,3.65,1.55,Newcastle,Manchester Utd,2,2,DRAW
2006,Fulham vs Watford,0-0,1.83,3.33,4.52,Fulham,Watford,0,0,DRAW
2006,Manchester City vs Everton,2-1,2.35,3.22,3.02,Manchester City,Everton,2,1,HOME_TEAM
2006,Middlesbrough vs Sheffield Utd,3-1,1.83,3.35,4.45,Middlesbrough,Sheffield Utd,3,1,HOME_TEAM
2006,Portsmouth vs Tottenham,1-1,2.38,3.08,3.03,Portsmouth,Tottenham,1,1,DRAW
2006,Reading vs West Ham,6-0,2.07,3.25,3.52,Reading,West Ham,6,0,HOME_TEAM
2006,Wigan vs Blackburn,0-3,2.4,3.18,2.9,Wigan,Blackburn,0,3,AWAY_TEAM
2006,Liverpool vs Bolton,3-0,1.59,3.65,6.08,Liverpool,Bolton,3,0,HOME_TEAM
2006,Sheffield Utd vs Arsenal,1-0,6.83,3.83,1.51,Sheffield Utd,Arsenal,1,0,HOME_TEAM
2006,Blackburn vs Middlesbrough,2-1,1.9,3.27,4.2,Blackburn,Middlesbrough,2,1,HOME_TEAM
2006,Bolton vs Portsmouth,3-2,1.91,3.3,4.12,Bolton,Portsmouth,3,2,HOME_TEAM
2006,Chelsea vs Fulham,2-2,1.17,6.17,17.67,Chelsea,Fulham,2,2,DRAW
2006,Everton vs Newcastle,3-0,2.12,3.24,3.45,Everton,Newcastle,3,0,HOME_TEAM
2006,Manchester Utd vs Reading,3-2,1.2,5.95,14.67,Manchester Utd,Reading,3,2,HOME_TEAM
2006,Tottenham vs Liverpool,0-1,3.0,3.18,2.43,Tottenham,Liverpool,0,1,AWAY_TEAM
2006,West Ham vs Manchester City,0-1,2.11,3.22,3.48,West Ham,Manchester City,0,1,AWAY_TEAM
2006,Charlton vs Aston Villa,2-1,2.6,3.22,2.68,Charlton,Aston Villa,2,1,HOME_TEAM
2006,Charlton vs Fulham,2-2,2.36,3.23,3.03,Charlton,Fulham,2,2,DRAW
2006,Watford vs Arsenal,1-2,7.57,3.96,1.46,Watford,Arsenal,1,2,AWAY_TEAM
2006,Blackburn vs Liverpool,1-0,4.39,3.38,1.83,Blackburn,Liverpool,1,0,HOME_TEAM
2006,Bolton vs Newcastle,2-1,1.94,3.32,3.97,Bolton,Newcastle,2,1,HOME_TEAM
2006,Everton vs Middlesbrough,0-0,1.87,3.3,4.32,Everton,Middlesbrough,0,0,DRAW
2006,Manchester Utd vs Wigan,3-1,1.18,5.97,17.0,Manchester Utd,Wigan,3,1,HOME_TEAM
2006,Sheffield Utd vs Manchester City,0-1,2.39,3.2,2.97,Sheffield Utd,Manchester City,0,1,AWAY_TEAM
2006,Chelsea vs Reading,2-2,1.19,5.86,16.31,Chelsea,Reading,2,2,DRAW
2006,Tottenham vs Aston Villa,2-1,1.77,3.35,4.88,Tottenham,Aston Villa,2,1,HOME_TEAM
