season,date,match_name,result,h_odd,d_odd,a_odd
2013/2014,Unknown,Crystal Palace vs Newcastle,0-3,3.1,3.26,2.38
2013/2014,Unknown,Fulham vs Manchester City,2-4,7.93,5.14,1.38
2013/2014,Unknown,Manchester Utd vs West Ham,3-1,1.3,5.53,9.85
2013/2014,Unknown,Stoke vs Aston Villa,2-1,2.0,3.29,4.02
2013/2014,Unknown,Sunderland vs Norwich,0-0,2.11,3.29,3.62
2013/2014,Unknown,West Brom vs Hull,1-1,1.96,3.28,4.24
2013/2014,Unknown,Liverpool vs Cardiff,3-1,1.19,7.16,15.45
2013/2014,Unknown,Tottenham vs Liverpool,0-5,2.35,3.36,3.07
2013/2014,Unknown,Aston Villa vs Manchester Utd,0-3,5.14,3.73,1.7
2013/2014,Unknown,Norwich vs Swansea,1-1,2.89,3.31,2.49
2013/2014,Unknown,Hull vs Stoke,0-0,2.24,3.13,3.57
2013/2014,Unknown,Cardiff vs West Brom,1-0,2.74,3.28,2.64
2013/2014,Unknown,Chelsea vs Crystal Palace,2-1,1.18,7.24,16.88
2013/2014,Unknown,Everton vs Fulham,4-1,1.37,4.83,8.88
2013/2014,Unknown,Newcastle vs Southampton,1-1,2.32,3.3,3.21
2013/2014,Unknown,West Ham vs Sunderland,0-0,1.96,3.44,4.05
2013/2014,Unknown,Manchester City vs Arsenal,6-3,1.72,3.93,4.76
2013/2014,Unknown,Swansea vs Hull,1-1,1.67,3.63,5.62
2013/2014,Unknown,Arsenal vs Everton,1-1,1.66,3.83,5.46
2013/2014,Unknown,Fulham vs Aston Villa,2-0,2.58,3.3,2.77
2013/2014,Unknown,Sunderland vs Tottenham,1-2,3.66,3.39,2.08
2013/2014,Unknown,Crystal Palace vs Cardiff,2-0,2.47,3.15,3.03
2013/2014,Unknown,Liverpool vs West Ham,4-1,1.31,5.45,9.44
2013/2014,Unknown,Southampton vs Manchester City,1-1,5.02,3.82,1.69
2013/2014,Unknown,Stoke vs Chelsea,3-2,6.31,3.99,1.56
2013/2014,Unknown,West Brom vs Norwich,0-2,1.69,3.75,5.25
2013/2014,Unknown,Manchester Utd vs Newcastle,0-1,1.46,4.48,7.19
2013/2014,Unknown,Fulham vs Tottenham,1-2,5.92,3.87,1.61
2013/2014,Unknown,West Brom vs Manchester City,2-3,6.6,4.44,1.49
2013/2014,Unknown,Arsenal vs Hull,2-0,1.27,5.82,11.39
2013/2014,Unknown,Liverpool vs Norwich,5-1,1.25,6.11,11.57
2013/2014,Unknown,Manchester Utd vs Everton,0-1,1.78,3.73,4.56
2013/2014,Unknown,Southampton vs Aston Villa,2-3,1.68,3.7,5.51
2013/2014,Unknown,Stoke vs Cardiff,0-0,2.21,3.23,3.51
2013/2014,Unknown,Sunderland vs Chelsea,3-4,6.33,4.32,1.52
2013/2014,Unknown,Swansea vs Newcastle,3-0,2.2,3.39,3.36
2013/2014,Unknown,Crystal Palace vs West Ham,1-0,3.17,3.24,2.34
2013/2014,Unknown,Chelsea vs Southampton,3-1,1.57,4.07,5.95
2013/2014,Unknown,Manchester City vs Swansea,3-0,1.25,5.88,12.13
2013/2014,Unknown,Hull vs Liverpool,3-1,6.06,3.88,1.59
2013/2014,Unknown,Tottenham vs Manchester Utd,2-2,2.72,3.24,2.63
2013/2014,Unknown,Newcastle vs West Brom,2-1,1.97,3.47,3.9
2013/2014,Unknown,Aston Villa vs Sunderland,0-0,1.82,3.51,4.68
2013/2014,Unknown,Cardiff vs Arsenal,0-3,6.37,4.12,1.54
2013/2014,Unknown,Everton vs Stoke,4-0,1.52,4.04,6.91
2013/2014,Unknown,Norwich vs Crystal Palace,1-0,1.97,3.38,4.03
2013/2014,Unknown,West Ham vs Fulham,3-0,1.73,3.74,4.94
2013/2014,Unknown,West Brom vs Aston Villa,2-2,2.14,3.27,3.65
2013/2014,Unknown,Cardiff vs Manchester Utd,2-2,5.14,3.75,1.7
2013/2014,Unknown,Manchester City vs Tottenham,6-0,1.65,3.87,5.47
2013/2014,Unknown,West Ham vs Chelsea,0-3,5.91,3.87,1.61
2013/2014,Unknown,Arsenal vs Southampton,2-0,1.59,4.01,6.03
2013/2014,Unknown,Fulham vs Swansea,1-2,3.27,3.36,2.25
2013/2014,Unknown,Hull vs Crystal Palace,0-1,1.89,3.35,4.55
2013/2014,Unknown,Newcastle vs Norwich,2-1,1.75,3.72,4.87
2013/2014,Unknown,Stoke vs Sunderland,2-0,2.1,3.19,3.89
2013/2014,Unknown,Everton vs Liverpool,3-3,2.83,3.26,2.56
2013/2014,Unknown,Manchester Utd vs Arsenal,1-0,2.28,3.37,3.21
2013/2014,Unknown,Swansea vs Stoke,3-3,1.95,3.36,4.23
2013/2014,Unknown,Sunderland vs Manchester City,1-0,7.18,4.54,1.44
2013/2014,Unknown,Tottenham vs Newcastle,0-1,1.53,4.18,6.41
2013/2014,Unknown,Norwich vs West Ham,3-1,2.31,3.28,3.23
2013/2014,Unknown,Aston Villa vs Cardiff,2-0,2.17,3.29,3.54
2013/2014,Unknown,Chelsea vs West Brom,2-2,1.29,5.59,10.51
2013/2014,Unknown,Crystal Palace vs Everton,0-0,5.44,3.73,1.68
2013/2014,Unknown,Liverpool vs Fulham,4-0,1.2,6.96,14.32
2013/2014,Unknown,Southampton vs Hull,4-1,1.57,3.76,6.83
2013/2014,Unknown,Cardiff vs Swansea,1-0,3.16,3.27,2.34
2013/2014,Unknown,Everton vs Tottenham,0-0,2.32,3.28,3.21
2013/2014,Unknown,Arsenal vs Liverpool,2-0,2.09,3.44,3.59
2013/2014,Unknown,Fulham vs Manchester Utd,1-3,6.55,4.3,1.51
2013/2014,Unknown,Hull vs Sunderland,1-0,2.26,3.23,3.37
2013/2014,Unknown,Manchester City vs Norwich,7-0,1.18,7.24,16.02
2013/2014,Unknown,Stoke vs Southampton,1-1,3.1,3.15,2.44
2013/2014,Unknown,West Brom vs Crystal Palace,2-0,1.53,4.13,6.64
2013/2014,Unknown,West Ham vs Aston Villa,0-0,2.12,3.35,3.58
2013/2014,Unknown,Newcastle vs Chelsea,2-0,5.78,4.09,1.59
2013/2014,Unknown,Chelsea vs Manchester City,2-1,2.25,3.32,3.29
2013/2014,Unknown,Swansea vs West Ham,0-0,1.72,3.74,4.99
2013/2014,Unknown,Tottenham vs Hull,1-0,1.33,4.83,11.16
2013/2014,Unknown,Sunderland vs Newcastle,2-1,2.79,3.31,2.57
2013/2014,Unknown,Southampton vs Fulham,2-0,1.59,3.95,6.0
2013/2014,Unknown,Aston Villa vs Everton,0-2,3.31,3.31,2.25
2013/2014,Unknown,Liverpool vs West Brom,4-1,1.39,4.88,7.95
2013/2014,Unknown,Manchester Utd vs Stoke,3-2,1.31,5.22,10.49
2013/2014,Unknown,Norwich vs Cardiff,0-0,2.05,3.38,3.79
2013/2014,Unknown,Crystal Palace vs Arsenal,0-2,11.91,5.57,1.28
2013/2014,Unknown,Crystal Palace vs Fulham,1-4,2.77,3.25,2.65
2013/2014,Unknown,Aston Villa vs Tottenham,0-2,4.05,3.39,1.97
2013/2014,Unknown,West Ham vs Manchester City,1-3,5.35,3.88,1.66
2013/2014,Unknown,Arsenal vs Norwich,4-1,1.29,5.43,11.16
2013/2014,Unknown,Chelsea vs Cardiff,4-1,1.28,5.63,11.48
2013/2014,Unknown,Everton vs Hull,2-1,1.5,4.12,7.27
2013/2014,Unknown,Manchester Utd vs Southampton,1-1,1.54,4.12,6.36
2013/2014,Unknown,Stoke vs West Brom,0-0,2.48,3.23,2.97
2013/2014,Unknown,Swansea vs Sunderland,4-0,1.56,4.03,6.36
2013/2014,Unknown,Newcastle vs Liverpool,2-2,4.14,3.76,1.85
2013/2014,Unknown,Tottenham vs West Ham,0-3,1.42,4.45,8.15
2013/2014,Unknown,West Brom vs Arsenal,1-1,4.93,3.83,1.71
2013/2014,Unknown,Norwich vs Chelsea,1-3,6.25,4.05,1.56
2013/2014,Unknown,Southampton vs Swansea,2-0,2.15,3.32,3.59
2013/2014,Unknown,Sunderland vs Manchester Utd,1-2,6.38,4.22,1.53
2013/2014,Unknown,Cardiff vs Newcastle,1-2,2.36,3.34,3.06
2013/2014,Unknown,Fulham vs Stoke,1-0,2.53,3.19,2.94
2013/2014,Unknown,Hull vs Aston Villa,0-0,2.27,3.2,3.4
2013/2014,Unknown,Liverpool vs Crystal Palace,3-1,1.18,7.07,16.36
2013/2014,Unknown,Manchester City vs Everton,3-1,1.6,4.01,5.72
2013/2014,Unknown,Everton vs Newcastle,3-2,1.57,4.1,5.98
2013/2014,Unknown,Sunderland vs Liverpool,1-3,5.72,3.94,1.62
2013/2014,Unknown,Stoke vs Norwich,0-1,1.94,3.36,4.21
2013/2014,Unknown,Swansea vs Arsenal,1-2,3.0,3.33,2.41
2013/2014,Unknown,Aston Villa vs Manchester City,3-2,6.97,4.19,1.5
2013/2014,Unknown,Fulham vs Cardiff,1-2,2.07,3.31,3.79
2013/2014,Unknown,Hull vs West Ham,1-0,2.27,3.18,3.43
2013/2014,Unknown,Manchester Utd vs West Brom,1-2,1.3,5.42,10.66
2013/2014,Unknown,Southampton vs Crystal Palace,2-0,1.43,4.42,8.07
2013/2014,Unknown,Tottenham vs Chelsea,1-1,2.48,3.21,2.97
2013/2014,Unknown,Cardiff vs Tottenham,0-1,4.26,3.41,1.91
2013/2014,Unknown,Manchester City vs Manchester Utd,4-1,2.21,3.21,3.46
2013/2014,Unknown,Arsenal vs Stoke,3-1,1.38,4.79,8.78
2013/2014,Unknown,Crystal Palace vs Swansea,0-2,3.58,3.34,2.11
2013/2014,Unknown,Chelsea vs Fulham,2-0,1.27,5.64,11.41
2013/2014,Unknown,Liverpool vs Southampton,0-1,1.7,3.66,5.26
2013/2014,Unknown,Newcastle vs Hull,2-3,1.77,3.49,5.0
2013/2014,Unknown,West Brom vs Sunderland,3-0,2.05,3.38,3.73
2013/2014,Unknown,West Ham vs Everton,2-3,3.24,3.24,2.31
2013/2014,Unknown,Norwich vs Aston Villa,0-1,2.33,3.27,3.07
2013/2014,Unknown,Swansea vs Liverpool,2-2,3.05,3.24,2.41
2013/2014,Unknown,Southampton vs West Ham,0-0,1.69,3.67,5.4
2013/2014,Unknown,Everton vs Chelsea,1-0,3.31,3.36,2.22
2013/2014,Unknown,Aston Villa vs Newcastle,1-2,2.05,3.4,3.76
2013/2014,Unknown,Fulham vs West Brom,1-1,2.12,3.38,3.55
2013/2014,Unknown,Hull vs Cardiff,1-1,2.18,3.21,3.57
2013/2014,Unknown,Stoke vs Manchester City,0-0,5.49,3.7,1.68
2013/2014,Unknown,Sunderland vs Arsenal,1-3,5.64,3.82,1.64
2013/2014,Unknown,Tottenham vs Norwich,2-0,1.44,4.35,8.09
2013/2014,Unknown,Manchester Utd vs Crystal Palace,2-0,1.17,7.41,16.64
2013/2014,Unknown,Arsenal vs Tottenham,1-0,2.11,3.36,3.57
2013/2014,Unknown,Liverpool vs Manchester Utd,1-0,2.41,3.19,3.14
2013/2014,Unknown,West Brom vs Swansea,0-2,2.64,3.34,2.69
