season,date,match_name,result,h_odd,d_odd,a_odd,source_file
2016/2017,Unknown,Swansea vs Liverpool,1-2,7.35,5.02,1.44,2016-2017_full.csv
2016/2017,Unknown,Everton vs Crystal Palace,1-1,1.72,3.95,5.08,2016-2017_full.csv
2016/2017,Unknown,Burnley vs Watford,2-0,3.28,3.17,2.42,2016-2017_full.csv
2016/2017,Unknown,West Ham vs Southampton,0-3,3.03,3.4,2.44,2016-2017_full.csv
2016/2017,Unknown,Arsenal vs Chelsea,3-0,2.41,3.48,3.06,2016-2017_full.csv
2016/2017,Unknown,Bournemouth vs Everton,1-0,3.36,3.45,2.26,2016-2017_full.csv
2016/2017,Unknown,Liverpool vs Hull,5-1,1.24,6.74,12.79,2016-2017_full.csv
2016/2017,Unknown,Middlesbrough vs Tottenham,1-2,3.91,3.4,2.08,2016-2017_full.csv
2016/2017,Unknown,Stoke vs West Brom,1-1,2.3,3.34,3.37,2016-2017_full.csv
2016/2017,Unknown,Sunderland vs Crystal Palace,2-3,2.59,3.25,2.96,2016-2017_full.csv
2016/2017,Unknown,Swansea vs Manchester City,1-3,9.32,5.75,1.33,2016-2017_full.csv
2016/2017,Unknown,Manchester Utd vs Leicester,4-1,1.69,3.91,5.46,2016-2017_full.csv
2016/2017,Unknown,Tottenham vs Sunderland,1-0,1.33,5.57,10.26,2016-2017_full.csv
2016/2017,Unknown,Crystal Palace vs Stoke,4-1,2.09,3.44,3.8,2016-2017_full.csv
2016/2017,Unknown,Southampton vs Swansea,1-0,1.67,3.92,5.62,2016-2017_full.csv
2016/2017,Unknown,Watford vs Manchester Utd,3-1,6.39,4.2,1.57,2016-2017_full.csv
2016/2017,Unknown,Everton vs Middlesbrough,3-1,1.64,3.88,6.11,2016-2017_full.csv
2016/2017,Unknown,Hull vs Arsenal,1-4,5.92,4.12,1.62,2016-2017_full.csv
2016/2017,Unknown,Leicester vs Burnley,3-0,1.46,4.59,7.82,2016-2017_full.csv
2016/2017,Unknown,Manchester City vs Bournemouth,4-0,1.25,6.77,12.25,2016-2017_full.csv
2016/2017,Unknown,West Brom vs West Ham,4-2,2.81,3.23,2.72,2016-2017_full.csv
2016/2017,Unknown,Chelsea vs Liverpool,1-2,2.17,3.54,3.47,2016-2017_full.csv
2016/2017,Unknown,Sunderland vs Everton,0-3,3.67,3.42,2.14,2016-2017_full.csv
2016/2017,Unknown,Swansea vs Chelsea,2-2,6.14,4.15,1.6,2016-2017_full.csv
2016/2017,Unknown,Liverpool vs Leicester,4-1,1.67,4.02,5.44,2016-2017_full.csv
2016/2017,Unknown,Arsenal vs Southampton,2-1,1.62,4.05,6.12,2016-2017_full.csv
2016/2017,Unknown,Bournemouth vs West Brom,1-0,2.13,3.19,4.05,2016-2017_full.csv
2016/2017,Unknown,Burnley vs Hull,1-1,2.53,3.12,3.15,2016-2017_full.csv
2016/2017,Unknown,Middlesbrough vs Crystal Palace,1-2,2.41,3.17,3.33,2016-2017_full.csv
2016/2017,Unknown,Stoke vs Tottenham,0-4,4.24,3.66,1.92,2016-2017_full.csv
2016/2017,Unknown,West Ham vs Watford,2-4,1.88,3.63,4.44,2016-2017_full.csv
2016/2017,Unknown,Manchester Utd vs Manchester City,1-2,2.38,3.11,3.45,2016-2017_full.csv
2016/2017,Unknown,Manchester City vs West Ham,3-1,1.25,6.53,12.13,2016-2017_full.csv
2016/2017,Unknown,West Brom vs Middlesbrough,0-0,2.62,3.08,3.07,2016-2017_full.csv
2016/2017,Unknown,Hull vs Manchester Utd,0-1,8.69,4.61,1.43,2016-2017_full.csv
2016/2017,Unknown,Chelsea vs Burnley,3-0,1.24,6.36,14.83,2016-2017_full.csv
2016/2017,Unknown,Crystal Palace vs Bournemouth,1-1,2.24,3.29,3.56,2016-2017_full.csv
2016/2017,Unknown,Everton vs Stoke,1-0,1.67,4.04,5.41,2016-2017_full.csv
2016/2017,Unknown,Leicester vs Swansea,2-1,1.68,4.01,5.47,2016-2017_full.csv
2016/2017,Unknown,Southampton vs Sunderland,1-1,1.47,4.64,7.42,2016-2017_full.csv
2016/2017,Unknown,Watford vs Arsenal,1-3,5.95,4.11,1.62,2016-2017_full.csv
2016/2017,Unknown,Tottenham vs Liverpool,1-1,2.58,3.37,2.87,2016-2017_full.csv
2016/2017,Unknown,West Ham vs Bournemouth,1-0,2.37,3.33,3.25,2016-2017_full.csv
2016/2017,Unknown,Sunderland vs Middlesbrough,1-2,2.72,3.1,2.94,2016-2017_full.csv
2016/2017,Unknown,Leicester vs Arsenal,0-0,2.79,3.49,2.59,2016-2017_full.csv
2016/2017,Unknown,Burnley vs Liverpool,2-0,6.99,4.39,1.52,2016-2017_full.csv
2016/2017,Unknown,Swansea vs Hull,0-2,1.84,3.53,4.9,2016-2017_full.csv
2016/2017,Unknown,Tottenham vs Crystal Palace,1-0,1.45,4.67,8.0,2016-2017_full.csv
2016/2017,Unknown,Watford vs Chelsea,1-2,5.78,3.86,1.66,2016-2017_full.csv
2016/2017,Unknown,West Brom vs Everton,1-2,3.03,3.17,2.58,2016-2017_full.csv
2016/2017,Unknown,Stoke vs Manchester City,1-4,6.18,4.2,1.59,2016-2017_full.csv
2016/2017,Unknown,Manchester Utd vs Southampton,2-0,1.53,4.26,7.04,2016-2017_full.csv
2016/2017,Unknown,Chelsea vs West Ham,2-1,1.52,4.34,7.04,2016-2017_full.csv
2016/2017,Unknown,Arsenal vs Liverpool,3-4,2.74,3.39,2.7,2016-2017_full.csv
2016/2017,Unknown,Bournemouth vs Manchester Utd,1-3,5.34,3.64,1.76,2016-2017_full.csv
2016/2017,Unknown,Manchester City vs Sunderland,2-1,1.25,6.46,13.33,2016-2017_full.csv
2016/2017,Unknown,Burnley vs Swansea,0-1,2.76,3.15,2.84,2016-2017_full.csv
2016/2017,Unknown,Crystal Palace vs West Brom,0-1,2.18,3.18,3.91,2016-2017_full.csv
2016/2017,Unknown,Everton vs Tottenham,1-1,3.56,3.41,2.2,2016-2017_full.csv
2016/2017,Unknown,Middlesbrough vs Stoke,1-1,2.24,3.27,3.61,2016-2017_full.csv
2016/2017,Unknown,Southampton vs Watford,1-1,1.79,3.73,4.94,2016-2017_full.csv
2016/2017,Unknown,Hull vs Leicester,2-1,4.59,3.48,1.91,2016-2017_full.csv
2017/2018,Unknown,Burnley vs Bournemouth,1-2,136.0,246.0,212.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs West Brom,2-0,-130.0,288.0,376.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Arsenal,0-1,471.0,369.0,-179.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Brighton,4-0,-455.0,616.0,1209.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Watford,1-0,-192.0,337.0,583.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Chelsea,3-0,374.0,288.0,-128.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Manchester City,0-1,525.0,359.0,-189.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Stoke,1-2,104.0,254.0,280.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Leicester,5-4,-263.0,453.0,705.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Everton,3-1,133.0,243.0,220.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Manchester Utd,0-0,355.0,281.0,-122.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Brighton,3-1,-526.0,677.0,1478.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Newcastle,1-0,-476.0,636.0,1413.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Huddersfield,1-1,-417.0,515.0,1468.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Arsenal,3-1,283.0,293.0,-105.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Southampton,0-1,229.0,219.0,140.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Burnley,5-0,-244.0,399.0,718.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Liverpool,1-0,120.0,268.0,229.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Huddersfield,0-0,-1111.0,1213.0,2803.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Southampton,1-1,181.0,229.0,169.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Swansea,1-0,100.0,259.0,295.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs West Ham,0-2,127.0,246.0,231.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Newcastle,2-1,121.0,234.0,261.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Tottenham,1-0,648.0,353.0,-213.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Crystal Palace,1-2,154.0,248.0,186.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Manchester Utd,1-0,397.0,250.0,-119.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Watford,2-0,-588.0,757.0,1630.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Arsenal,2-1,-256.0,432.0,711.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Manchester City,1-4,841.0,479.0,-303.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Chelsea,0-1,667.0,374.0,-222.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Brighton,0-0,137.0,212.0,247.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Leicester,5-0,108.0,254.0,275.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Everton,0-2,169.0,206.0,200.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs West Brom,0-1,-103.0,236.0,345.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Bournemouth,2-1,-143.0,309.0,405.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Stoke,0-0,-345.0,504.0,1016.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Newcastle,1-0,117.0,231.0,271.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Swansea,5-0,-769.0,867.0,1955.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs West Ham,4-1,-196.0,359.0,566.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Burnley,1-1,124.0,237.0,247.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Crystal Palace,0-0,206.0,231.0,148.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Liverpool,2-2,555.0,305.0,-169.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Chelsea,1-2,346.0,252.0,-110.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Southampton,0-0,139.0,242.0,210.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Manchester Utd,0-2,350.0,285.0,-122.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Tottenham,1-1,539.0,326.0,-179.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Stoke,1-1,100.0,243.0,318.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs West Brom,0-1,-526.0,629.0,1666.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Arsenal,2-1,188.0,247.0,152.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Manchester City,1-3,177.0,265.0,152.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Bournemouth,3-0,-455.0,619.0,1243.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Leicester,2-1,162.0,218.0,199.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Brighton,3-2,-116.0,250.0,383.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Watford,1-0,156.0,219.0,206.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Everton,1-1,171.0,214.0,190.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Chelsea,2-3,361.0,279.0,-123.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs West Ham,1-1,-333.0,487.0,1010.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Southampton,3-2,-132.0,284.0,391.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Manchester Utd,2-3,-120.0,271.0,362.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Crystal Palace,2-2,158.0,252.0,177.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Huddersfield,1-1,-137.0,263.0,459.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Newcastle,1-2,-116.0,254.0,370.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Tottenham,1-2,1022.0,509.0,-345.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Burnley,1-2,134.0,220.0,243.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Swansea,1-1,142.0,219.0,227.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Liverpool,0-0,265.0,244.0,114.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Tottenham,1-3,131.0,236.0,224.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Stoke,3-0,-345.0,493.0,961.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Manchester City,1-3,881.0,436.0,-303.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Leicester,0-2,172.0,225.0,175.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Swansea,2-0,-455.0,562.0,1402.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Huddersfield,1-0,-132.0,262.0,438.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Bournemouth,2-2,127.0,246.0,231.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Burnley,1-2,156.0,204.0,212.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Southampton,3-0,187.0,224.0,168.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Liverpool,1-2,583.0,370.0,-204.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Watford,5-0,-588.0,769.0,1548.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs West Brom,2-1,-125.0,273.0,386.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Crystal Palace,0-2,177.0,218.0,181.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Everton,1-2,175.0,223.0,179.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Manchester City,0-2,1291.0,574.0,-435.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Tottenham,1-4,631.0,405.0,-227.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Watford,3-0,-196.0,351.0,583.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Crystal Palace,2-1,-333.0,467.0,1071.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Brighton,2-0,125.0,225.0,258.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Swansea,0-0,150.0,208.0,227.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Southampton,3-0,166.0,215.0,195.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Leicester,1-4,224.0,234.0,136.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Burnley,0-3,124.0,216.0,273.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Liverpool,2-1,209.0,223.0,150.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Manchester Utd,2-3,679.0,363.0,-217.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Chelsea,1-0,-196.0,376.0,530.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Arsenal,2-1,316.0,267.0,-108.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Newcastle,2-0,-500.0,648.0,1415.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Bournemouth,1-1,-111.0,264.0,333.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Stoke,0-0,-139.0,272.0,451.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs West Ham,4-1,160.0,206.0,213.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Huddersfield,2-0,-588.0,725.0,1867.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs West Brom,1-0,138.0,218.0,240.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Everton,2-1,156.0,195.0,229.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Manchester City,0-3,370.0,322.0,-139.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Chelsea,2-1,140.0,224.0,227.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Tottenham,0-1,815.0,448.0,-278.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Everton,1-0,140.0,224.0,225.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Newcastle,2-2,-101.0,259.0,301.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Swansea,4-1,104.0,219.0,337.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Southampton,1-1,231.0,206.0,148.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs West Ham,4-1,-435.0,598.0,1276.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Huddersfield,1-2,-112.0,238.0,384.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Stoke,1-1,-145.0,293.0,441.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs West Brom,3-0,-294.0,420.0,980.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Liverpool,0-2,405.0,295.0,-137.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Manchester Utd,1-0,520.0,311.0,-167.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Bournemouth,4-1,213.0,231.0,143.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Leicester,5-1,-417.0,560.0,1280.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Crystal Palace,3-1,112.0,225.0,293.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Brighton,1-1,136.0,224.0,236.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Burnley,1-0,139.0,200.0,256.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Watford,2-0,140.0,231.0,218.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Arsenal,1-0,-106.0,282.0,292.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Chelsea,4-1,560.0,338.0,-185.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Tottenham,2-2,100.0,278.0,279.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Newcastle,1-1,108.0,231.0,299.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Everton,5-1,-294.0,451.0,882.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Stoke,2-1,-110.0,261.0,333.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs West Ham,3-1,127.0,202.0,284.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Swansea,1-1,-118.0,248.0,398.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Huddersfield,2-0,-476.0,588.0,1554.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Southampton,2-3,187.0,210.0,177.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Manchester City,1-1,1152.0,472.0,-345.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs West Brom,3-0,-667.0,802.0,2011.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Watford,0-0,116.0,247.0,259.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Manchester Utd,2-0,139.0,239.0,213.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Bournemouth,0-3,-270.0,415.0,868.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Leicester,2-1,175.0,213.0,186.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Burnley,1-1,123.0,212.0,282.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Brighton,1-1,-123.0,245.0,434.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Liverpool,0-3,944.0,443.0,-303.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Arsenal,3-1,587.0,330.0,-189.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Crystal Palace,1-1,202.0,218.0,156.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Liverpool,1-0,1041.0,487.0,-333.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Tottenham,1-1,354.0,276.0,-119.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Newcastle,3-1,-833.0,906.0,2560.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Crystal Palace,4-1,-217.0,375.0,628.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Manchester Utd,0-1,625.0,303.0,-182.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs West Brom,1-1,147.0,196.0,247.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Watford,2-0,-128.0,285.0,380.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Huddersfield,2-0,104.0,242.0,305.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Bournemouth,1-1,131.0,238.0,229.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Chelsea,0-4,567.0,274.0,-159.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Stoke,3-0,-476.0,618.0,1470.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Manchester City,4-3,206.0,262.0,133.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Arsenal,2-1,275.0,266.0,102.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Everton,4-0,-370.0,501.0,1145.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Leicester,0-0,-333.0,468.0,1078.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Burnley,1-0,120.0,218.0,283.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs West Ham,1-4,185.0,212.0,177.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Swansea,1-1,-133.0,262.0,451.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Southampton,2-2,167.0,235.0,179.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Brighton,2-0,116.0,206.0,313.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs West Ham,1-1,-345.0,501.0,1054.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Chelsea,2-2,222.0,238.0,135.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Watford,3-1,-833.0,947.0,1993.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Crystal Palace,1-2,108.0,236.0,295.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Tottenham,0-2,702.0,344.0,-213.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs West Brom,2-1,114.0,215.0,305.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Manchester Utd,0-2,459.0,277.0,-141.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Liverpool,1-2,513.0,281.0,-154.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Huddersfield,3-0,-125.0,252.0,420.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs Newcastle,0-1,129.0,229.0,243.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Bournemouth,2-2,143.0,210.0,236.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Arsenal,1-1,455.0,317.0,-156.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Manchester City,0-0,934.0,484.0,-312.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Southampton,0-0,-286.0,434.0,892.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Everton,2-1,139.0,218.0,235.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Stoke,5-0,-714.0,840.0,2051.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Burnley,0-0,141.0,197.0,256.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Leicester,2-1,-370.0,581.0,948.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Brighton,0-0,112.0,223.0,301.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Swansea,1-2,-123.0,258.0,403.0,2017-2018_full.csv
2017/2018,Unknown,Crystal Palace vs Arsenal,2-3,359.0,321.0,-135.0,2017-2018_full.csv
2017/2018,Unknown,Newcastle vs Manchester City,0-1,1180.0,571.0,-400.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs Swansea,5-0,-714.0,861.0,1893.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs West Ham,3-3,156.0,219.0,204.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Brighton,2-0,-588.0,706.0,2085.0,2017-2018_full.csv
2017/2018,Unknown,Huddersfield vs Stoke,1-1,136.0,217.0,243.0,2017-2018_full.csv
2017/2018,Unknown,Manchester Utd vs Burnley,2-2,-385.0,518.0,1268.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Leicester,2-1,166.0,244.0,174.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Everton,0-0,127.0,210.0,272.0,2017-2018_full.csv
2017/2018,Unknown,Tottenham vs Southampton,5-2,-294.0,448.0,876.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Manchester Utd,2-2,313.0,265.0,-105.0,2017-2018_full.csv
2017/2018,Unknown,Burnley vs Tottenham,0-3,576.0,326.0,-185.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Watford,1-0,168.0,216.0,190.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Bournemouth,4-0,-1111.0,1176.0,2873.0,2017-2018_full.csv
2017/2018,Unknown,Southampton vs Huddersfield,1-1,-152.0,283.0,501.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs West Brom,3-1,136.0,217.0,244.0,2017-2018_full.csv
2017/2018,Unknown,Swansea vs Crystal Palace,1-1,234.0,220.0,139.0,2017-2018_full.csv
2017/2018,Unknown,West Ham vs Newcastle,2-3,-102.0,239.0,334.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Chelsea,0-0,570.0,305.0,-175.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Liverpool,3-3,162.0,266.0,165.0,2017-2018_full.csv
2017/2018,Unknown,Everton vs Swansea,3-1,-127.0,252.0,434.0,2017-2018_full.csv
2017/2018,Unknown,Bournemouth vs Liverpool,0-4,608.0,413.0,-227.0,2017-2018_full.csv
2017/2018,Unknown,West Brom vs Manchester Utd,1-2,508.0,277.0,-152.0,2017-2018_full.csv
2017/2018,Unknown,Manchester City vs Tottenham,4-1,-161.0,344.0,430.0,2017-2018_full.csv
2017/2018,Unknown,Stoke vs West Ham,0-3,147.0,218.0,212.0,2017-2018_full.csv
2017/2018,Unknown,Arsenal vs Newcastle,1-0,-400.0,564.0,1117.0,2017-2018_full.csv
2017/2018,Unknown,Brighton vs Burnley,0-0,149.0,191.0,247.0,2017-2018_full.csv
2017/2018,Unknown,Chelsea vs Southampton,1-0,-244.0,393.0,750.0,2017-2018_full.csv
2017/2018,Unknown,Watford vs Huddersfield,1-4,-135.0,273.0,428.0,2017-2018_full.csv
2017/2018,Unknown,Leicester vs Crystal Palace,0-3,-130.0,280.0,394.0,2017-2018_full.csv
2017/2018,Unknown,Liverpool vs West Brom,0-0,-500.0,643.0,1475.0,2017-2018_full.csv
